[2024/04/20 17:09:40] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:09:40] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:09:40] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  60/100] lr: 0.00200, loss: 0.00043, EQ: 0.00043, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 42284.00, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  70/100] lr: 0.00200, loss: 0.00046, EQ: 0.00046, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42859.77, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  80/100] lr: 0.00200, loss: 0.00048, EQ: 0.00048, batch_cost: 0.00074s, reader_cost: 0.00004s, ips: 43374.30, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter  90/100] lr: 0.00200, loss: 0.00055, EQ: 0.00055, batch_cost: 0.00074s, reader_cost: 0.00004s, ips: 43471.16, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch 10/10][Iter 100/100] lr: 0.00200, loss: 0.00055, EQ: 0.00055, batch_cost: 0.00073s, reader_cost: 0.00004s, ips: 43587.64, eta: 0:00:00
[2024/04/20 17:10:17] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:10:17] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:10:18] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter   1/100] lr: 0.00200, loss: 0.34426, EQ: 0.34426, batch_cost: 0.75047s, reader_cost: 0.00063s, ips: 42.64, eta: 0:12:29
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  10/100] lr: 0.00200, loss: 0.17181, EQ: 0.17181, batch_cost: 0.00072s, reader_cost: 0.00004s, ips: 44152.61, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  20/100] lr: 0.00200, loss: 0.13495, EQ: 0.13495, batch_cost: 0.00080s, reader_cost: 0.00004s, ips: 40087.98, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  30/100] lr: 0.00200, loss: 0.11068, EQ: 0.11068, batch_cost: 0.00080s, reader_cost: 0.00004s, ips: 39883.92, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  40/100] lr: 0.00200, loss: 0.09087, EQ: 0.09087, batch_cost: 0.00080s, reader_cost: 0.00004s, ips: 40099.71, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  50/100] lr: 0.00200, loss: 0.07822, EQ: 0.07822, batch_cost: 0.00079s, reader_cost: 0.00004s, ips: 40758.66, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  60/100] lr: 0.00200, loss: 0.06877, EQ: 0.06877, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41455.06, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  70/100] lr: 0.00200, loss: 0.06111, EQ: 0.06111, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41375.88, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  80/100] lr: 0.00200, loss: 0.05556, EQ: 0.05556, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41511.61, eta: 0:00:00
[2024/04/20 17:10:18] ppsci INFO: [Train][Epoch  1/10][Iter  90/100] lr: 0.00200, loss: 0.05111, EQ: 0.05111, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41705.63, eta: 0:00:00
